Nachname;Name;Oberthema;Thema;Fundstelle;Sitzung;Datum;;
Mueller-Otfried;Paula Mueller-Otfried;Branntweinbrennereien;Aufkauf von Kartoffeln und Getreide. (Anfrage);Bd. 345, 20. Sitz. S. 746C;20;1920-10-19;;
Mueller-Otfried;Paula Mueller-Otfried;Geschlechtskrankheiten;Bekämpfung, Vorlegung eines Gesetzentwurfs. (Anfrage);Bd. 352, 169. Sitz. S. 5830A;169;1922-02-14;;
Mueller-Otfried;Paula Mueller-Otfried;Geschlechtskrankheiten;Bekämpfung der Geschlechtskrankheiten. Gesetzentwurf: II. B./ Prostitution. Strafbarkeit, Bordelle, Sittenkontrolle;Bd. 360, 367. Sitz. S. 11418A;367;1923-06-16;;
Mueller-Otfried;Paula Mueller-Otfried;Jugendwohlfahrt;Interpellation Frau Neuhaus (Westfalen), betr. Reichsjugendwohlfahrtsgesetz;Bd. 347, 58. Sitz. S. 2172D;58;1921-01-27;;
Mueller-Otfried;Paula Mueller-Otfried;Kriegsgefangene;Maßnahmen zur Rückkehr aus Rumänien. (Anfrage);Bd. 347, 66. Sitz. S. 2386A;66;1921-02-04;;
Mueller-Otfried;Paula Mueller-Otfried;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6924B;204;1922-04-06;;
Mueller-Otfried;Paula Mueller-Otfried;Reichshaushalt;Reichshaushaltsplan für 1922, Reichspostministerium: II. B.;Bd. 354, 211. Sitz. S. 7274D;211;1922-05-16;;
Mueller-Otfried;Paula Mueller-Otfried;Reichshaushalt;Reichshaushaltsplan für 1923. Reichspostministerium: III. B.;Bd. 360, 355. Sitz. S. 11086A;360;1923-05-15;;
Nemitz;Anna Nemitz;Alkoholismus;Bekämpfung. Schädliche Wirkung der Zollerhöhungen auf Kaffee, Tee, Kakao;Bd. 353, 195. Sitz. S. 6578A;195;1922-03-24;;
Nemitz;Anna Nemitz;Beamte;Disziplinierung wegen unehelicher Vaterschaft (§ 10 des RBG.);Bd. 354, 204. Sitz. S. 6932B;204;1922-04-06;;
Nemitz;Anna Nemitz;Beamtinnen;Uneheliche Mutterschaft;Bd. 354, 204. Sitz. S. 6930C;204;1922-04-06;;
Nemitz;Anna Nemitz;Reichshaushalt;Reichshaushalt für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6930C;204;1922-04-06;;
Nemitz;Anna Nemitz;Reichswehr;Beteiligung von Mannschaften und Offizieren des 5. republikanischen Reichswehr-Regiments in Stettin an der Feier des Geburtstags des Kronprinzen. (Anfrage);Bd. 355, 227. Sitz. S. 7828A;227;1922-06-16;;
Nemitz;Anna Nemitz;Wochenfürsorge;Gesetzentwurf: II. B.;Bd. 355, 224. Sitz. S. 7758D;224;1922-05-31;;
Nemitz;Anna Nemitz;Wochenhilfe;Gesetzentwurf: II. B.;Bd. 355, 224. Sitz. S. 7758D;224;1922-05-31;;
Nemitz;Anna Nemitz;Zollwesen;Erhöhung von Zöllen. Gesetzentwurf: II. B./Stellung der Mehrheitssozialdemokratie zu den Zollerhöhungen, insbesondere Kaffee-, Kakao- und Teezoll;Bd. 353, 195. Sitz. S. 6577A;195;1922-03-24;;
Neuhaus;Agnes Neuhaus;Beamtinnen;Uneheliche Mutterschaft;Bd. 354, 204. Sitz. S. 6932D;204;1922-04-06;;
Neuhaus;Agnes Neuhaus;Beamtinnen;Uneheliche Mutterschaft;Bd. 354, 204. Sitz. S. 6935A;204;1922-04-06;;
Neuhaus;Agnes Neuhaus;Geschlechtskrankheiten;Bekämpfung der Geschlechtskrankheiten. Gesetzentwurf: II. B./Bekämpfung, strafgesetzliche Grundlage, Änderung/ Gesundheitsbehörden und Beratungsstellen, hygienische Aufgaben/ Prostitution. Polizeiliche Reglementierung, Bordelle, Sittenkontrolle;Bd. 360, 364. Sitz. S. 11317A;364;1923-06-13;;
Neuhaus;Agnes Neuhaus;Jugendfürsorge;Konfessionelle Erziehung;Bd. 355, 226. Sitz. S. 7820D;226;1922-06-14;;
Neuhaus;Agnes Neuhaus;Jugendgerichtsgesetz;Gesetzentwurf: II. B./ Übertragung der Befugnisse der Jugendämter an Vereinigungen der Jugendfürsorge;Bd. 358, 292. Sitz. S. 9553A;292;1923-01-27;;
Neuhaus;Agnes Neuhaus;Jugendgerichtsgesetz;Gesetzentwurf III. B./ Freiwillige Jugendgerichtshilfe der freien Vereinigungen;Bd. 358, 295. Sitz. S. 9581B;295;1923-02-01;;
Neuhaus;Agnes Neuhaus;Jugendgerichtsgesetz;Gesetzentwurf III. B./ Freiwillige Jugendgerichtshilfe der freien Vereinigungen;Bd. 358, 295. Sitz. S. 9582D;295;1923-02-01;;
Neuhaus;Agnes Neuhaus;Jugendwohlfahrtsgesetz;Reichsjugendwohlfahrtsgesetz. Interpellation Frau Neuhaus (Westfalen)/ Kosten der Ausführung, Gegensätze zwischen den Finanzressorts des Reichs und der Länder/ Zusammenfassung der privaten und öffentlichen Fürsorge/ Freie Liebestätigkeit, private Vereinigungen, Aufrechterhaltung;Bd. 347, 58. Sitz. S. 2184D;58;1921-01-27;;
Neuhaus;Agnes Neuhaus;Jugendwohlfahrtsgesetz;Gesetzentwurf: II. B.;Bd. 355, 225. Sitz. S. 7787A;225;1922-06-13;;
Neuhaus;Agnes Neuhaus;Jugendwohlfahrtsgesetz;Politisierung der Jugendfürsorge;Bd. 355, 225. Sitz. S. 7787C;225;1922-06-13;;
Neuhaus;Agnes Neuhaus;Jugendwohlfahrtsgesetz;Gesetzentwurf: II. B.;Bd. 355, 226. Sitz. S. 7820D;226;1922-06-14;;
Neuhaus;Agnes Neuhaus;Postwesen;Entlassung unehelicher Mütter, Stellung der Berufsvertretungen;Bd. 348, 87. Sitz. S. 3164B;87;1921-03-17;;
Neuhaus;Agnes Neuhaus;Postwesen;Entlassung unehelicher Mütter, Stellung der Berufsvertretungen;Bd. 348, 87. Sitz. S. 3167A;87;1921-03-17;;
Neuhaus;Agnes Neuhaus;Reichshaushalt;Reichshaushaltsplan für 1920. Reichspostministerium: II. B.;Bd. 348, 87. Sitz. S. 3164A;87;1921-03-17;;
Neuhaus;Agnes Neuhaus;Reichshaushalt;Reichshaushaltsplan für 1920. Reichspostministerium: II. B.;Bd. 348, 87. Sitz. S. 3166D;87;1921-03-17;;
Neuhaus;Agnes Neuhaus;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6932C;204;1922-04-06;;
Neuhaus;Agnes Neuhaus;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6935A;204;1922-04-06;;
Pfülf;Toni Pfülf;Bayern;Zustände in der bayerischen Rheinpfalz infolge der Separatistenbewegung, Anordnungen separatistischer Gewalthaber. Interpellationen Fehrenbach, Hofmann (Ludwigshafen), Dr. Scholz, Hergt u. Gen. und Koch, (Weser), Erkelenz, Dr. Haas (Baden), Korell u. Gen.;Bd. 361, 399. Sitz. S. 12425C;399;1924-02-21;;
Pfülf;Toni Pfülf;Beamte;Beamtenpolitik des Reichsministers Dr. Köster, Forderung des Bekenntnisses zur Verfassung unter Achtung der politischen Meinungsfreiheit, Festhalten an alten bewährten Beamten/ Disziplinierung wegen unehelicher Vaterschaft (§ 10 des RBG.);Bd. 354, 203. Sitz. S. 6877D;203;1922-04-05;;
Pfülf;Toni Pfülf;Beamtinnen;Uneheliche Mutterschaft;Bd. 354, 203. Sitz. S. 6878B;203;1922-04-05;;
Pfülf;Toni Pfülf;Eisenbahnen;Fahrpreisermäßigungen im kulturellen Interesse (Geschäftsordnung);Bd. 352, 159. Sitz. S. 5554C;159;1922-01-25;;
Pfülf;Toni Pfülf;Frauen;Zulassung der Frauen zum Schöffen und Geschworenenamt;Bd. 347, 73. Sitz. S. 2623A;73;1921-03-02;;
Pfülf;Toni Pfülf;Frauen;Zulassung der Frauen zum Schöffen und Geschworenenamt;Bd. 348, 78. Sitz. S. 2733B;78;1921-03-08;;
Pfülf;Toni Pfülf;Frauen;Zulassung der Frauen zum Schöffen und Geschworenenamt;Bd. 348, 78. Sitz. S. 2740A;78;1921-03-08;;
Pfülf;Toni Pfülf;Frauen;Entlassung der weiblichen Hilfskräfte aus dem Büro- und Kassendienste der Reichsministerien. Schreiben des Reichsministeriums des Innern vom 8. Januar 1921;Bd. 348, 84. Sitz. S. 2942B;84;1921-03-14;;
Pfülf;Toni Pfülf;Frauen;Gleichstellung der Frauen in der Justiz. Gesetzentwurf. Antrag Müller (Franken) u. Gen.: I. B;Bd. 350, 125. Sitz. S. 4186C;125;1921-06-27;;
Pfülf;Toni Pfülf;Gerichte;Entlastung der Gerichte. Gesetzentwurf: II. B.;Bd. 347, 73. Sitz. S. 2623A;73;1921-03-02;;
Pfülf;Toni Pfülf;Gerichte;Entlastung der Gerichte. Gesetzentwurf: III. B.;Bd. 348, 78. Sitz. S. 2733B;78;1921-03-08;;
Pfülf;Toni Pfülf;Jugendgerichtsgesetz;Gesetzentwurf: III. B./ Freiwillige Jugendgerichtshilfe der freien Vereinigungen;Bd. 358, 295. Sitz. S. 9581C;295;1923-02-01;;
Pfülf;Toni Pfülf;Jugendgerichtsgesetz;Gesetzentwurf: III. B./ Freiwillige Jugendgerichtshilfe der freien Vereinigungen;Bd. 358, 295. Sitz. S. 9583B;295;1923-02-01;;
Pfülf;Toni Pfülf;Jugendwohlfahrtsgesetz;Vorlegung;Bd. 348, 84. Sitz. S. 2939B;84;1921-03-14;;
Pfülf;Toni Pfülf;Kadettenanstalten;Umbildung zu staatlichen Erziehungsanstalten;Bd. 348, 84. Sitz. S. 2941C;84;1921-03-14;;
Pfülf;Toni Pfülf;Kadettenanstalten;Umbildung zu staatlichen Erziehungsanstalten;Bd. 350, 127. Sitz. S. 4222C;127;1921-06-30;;
Pfülf;Toni Pfülf;Kadettenanstalten;Umbildung zu staatlichen Erziehungsanstalten;Bd. 350, 127. Sitz. S. 4225C;127;1921-06-30;;
Pfülf;Toni Pfülf;Kadettenanstalten;Geist von Lichterfelde, Schutz der Autorität;Bd. 354, 203. Sitz. S. 6879A;203;1922-04-05;;
Pfülf;Toni Pfülf;Kriegergräber;Erhaltung der Kriegergräber aus dem Weltkrieg. Gesetzentwurf: II. B. (Berichterstatter);Bd. 357, 279. Sitz. S. 9253C;279;1922-10-11;;
Pfülf;Toni Pfülf;Lehrer;Versetzung wegen ihrer Weigerung Religionsunterricht zu erteilen/ Einheitliche Lehrerbildung, Anregung eines Gesetzentwurfs;Bd. 348, 84. Sitz. S. 2940A;84;1921-03-14;;
Pfülf;Toni Pfülf;Lichtspielwesen;Gefährdung der auswärtigen Beziehungen durch die Lehrfilme der »Gesellschaft für Kulturforschung« betr. das besetzte Rheinland. (Anfrage);Bd. 350, 128. Sitz. S. 4256A;128;1921-07-01;;
Pfülf;Toni Pfülf;Lichtspielwesen;Gefährdung der auswärtigen Beziehungen durch die Lehrfilme der »Gesellschaft für Kulturforschung« betr. das besetzte Rheinland. (Anfrage);Bd. 350, 128. Sitz. S. 4256B;128;1921-07-01;;
Pfülf;Toni Pfülf;Literatur;Schund- und Schmutzliteratur. Bekämpfung. Interpellation D. Mumm;Bd. 354, 203. Sitz. S. 6876D;203;1922-04-05;;
Pfülf;Toni Pfülf;Literatur;Schund- und Schmutzliteratur. Bekämpfung. Interpellation D. Mumm;Bd. 354, 204. Sitz. S. 6935D;204;1922-04-06;;
Pfülf;Toni Pfülf;Literatur;Schund- und Schmutzliteratur. Bekämpfung. Interpellation D. Mumm;Bd. 354, 204. Sitz. S. 6939D;204;1922-04-06;;
Pfülf;Toni Pfülf;Parteiwesen;Parteigeist in Deutschland, Zurückführung auf die Bismarcksche Politik, Fraktionswesen und Fraktionspolitik, Internationalismus;Bd. 354, 203. Sitz. S. 6879D;203;1922-04-05;;
Pfülf;Toni Pfülf;Postwesen;Richtlinien für Aufnahme von Beamtinnen;Bd. 354, 203. Sitz. S. 6878C;203;1922-04-05;;
Pfülf;Toni Pfülf;Postwesen;Beamtinnen, verheiratete, Ausscheiden, gesetzliche Regelung der Abfindung;Bd. 360, 355. Sitz. S. 11086D;355;1923-05-15;;
Pfülf;Toni Pfülf;Reichshaushalt;Reichshaushaltsplan für 1920. Reichsministerium des Innern nebst Ergänzung: II. B.;Bd. 348, 84. Sitz. S. 2938C;84;1921-03-14;;
Pfülf;Toni Pfülf;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern. II. B. (Geschäftsordnung);Bd. 354, 203. Sitz. S. 6876A;203;1922-04-05;;
Pfülf;Toni Pfülf;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern. II. B. (Geschäftsordnung);Bd. 354, 204. Sitz. S. 6935B;204;1922-04-06;;
Pfülf;Toni Pfülf;Reichshaushalt;Reichshaushaltsplan für 1923. Reichspostministerium: III. B.;Bd. 360, 355. Sitz. S. 11086D;355;1923-05-15;;
Pfülf;Toni Pfülf;Republik;Schutz der Republik. Gesetzentwurf: II. B./ Ausschluß von Mitgliedern landesherrlicher Familien von den Stellen des Reichspräsidenten, der Staatspräsidenten und von der Reichswehr/ Ausweisung von Mitgliedern vormals landesherrlicher Familien;Bd. 356, 249. Sitz. S. 8507B;249;1922-07-12;;
Pfülf;Toni Pfülf;Schulen;Staatsbürgerkunde als Lehrfach/ Teilnahme am Religionsunterricht, Anmeldung oder Abmeldung/ Einführung der Abschlußklassen aller Schulen in den Friedensvertrag von Versailles/ Einheitliche Ordnung des Schuljahres/ Arbeitsschulen;Bd. 348, 84. Sitz. S. 2940D;84;1921-03-14;;
Pfülf;Toni Pfülf;Schulen;Grundsätzliche Interkonfessionalität der höheren Schulen, Übertragung auf die aus den Kadettenanstalten hervorgehenden Bildungsanstalten;Bd. 350, 127. Sitz. S. 4222C;127;1921-06-30;;
Pfülf;Toni Pfülf;Schulen;Grundsätzliche Interkonfessionalität der höheren Schulen, Übertragung auf die aus den Kadettenanstalten hervorgehenden Bildungsanstalten;Bd. 350, 127. Sitz. S. 4225C;127;1921-06-30;;
Pfülf;Toni Pfülf;Schulen;Pflicht der Lehrer zur Bejahung der Republik, bayerische Schulbücher;Bd. 354, 203. Sitz. S. 6879B;203;1922-04-05;;
Pfülf;Toni Pfülf;Verfassung;Verteilung amtlicher Ausgaben an abgehende Schüler, Frage der Beigabe einer Vorrede;Bd. 348, 84. Sitz. S. 2942A;84;1921-03-14;;
Reitze;Johanne Reitze;Milch;Preisbemessung durch die Molkereien nach den Butterpreisen, Butterauktionen. (Anfrage);Bd. 351, 148. Sitz. S. 5168C;148;1921-10-13;;
Ryneck;Elfriede Ryneck;Beamte;Besoldung, Wirtschaftsbeihilfe;Bd.353, 174. Sitz. S.5979D;174;1922-02-21;;
Ryneck;Elfriede Ryneck;Getreide;Gestaltung der Getreidewirtschaft, Zwangswirtschaft, freie Wirtschaft, Umlageverfahren/ Umlage Stand der Ablieferung;Bd. 353, 174. Sitz. S.5980B;174;1922-02-21;;
Ryneck;Elfriede Ryneck;Mais;Bezugsscheine, mißbräuliche Verwendung/Verbilligung für Futterzwecke durch Reichszuschüsse;Bd. 353, 174. Sitz. S.5980A;174;1922-02-21;;
Ryneck;Elfriede Ryneck;Milch;Preise, Verbilligungsmaßnahmen;Bd. 359, 331. Sitz. S.10463D;331;1923-04-12;;
Ryneck;Elfriede Ryneck;Reichshaushalt;Reichshaushaltsplan für 1921. Fünfter Nachtrag I.B.;Bd. 353, 174. Sitz. S.5979B;174;1922-02-21;;
Ryneck;Elfriede Ryneck;Reichshaushalt;Reichshaushaltsplan für 1923. Reichsministerium für Ernährung und Landwirtschaft: II.B.;Bd. 359, 331. Sitz. S.10463C;331;1923-04-12;;
Ryneck;Elfriede Ryneck;Zucker;Preisbildung;Bd. 353, 174. Sitz. S. 5981C;174;1922-02-21;;
Ryneck;Elfriede Ryneck;Zucker;Preisbildung;Bd. 359, 331. Sitz. S. 10464A;331;1923-04-12;;
Schilling;Martha Minna Schilling;Löhne;Zurückbleiben hinter der Teuerung, Lohnabbau;Bd. 353, 195. Sitz. S. 6590C, D;195;1922-03-24;;
Schilling;Martha Minna Schilling;Versicherungswesen;Reichsversicherungsordnung, Reformbedürftigkeit;Bd. 353, 195. Sitz. S. 6591A;195;1922-03-24;;
Schilling;Martha Minna Schilling;Zuckersteuer;Abänderung des Zuckersteuergesetzes. Gesetzentwurf: II. B./ Stellung der Mehrheitssozialdemokratie zur Zuckersteuer/ Zuckerwirtschaft, Zuckerpreise;Bd. 353, 195. Sitz. S. 6589C;195;1922-03-24;;
Schott;Maria Anna Schott;Versicherungswesen;Änderung des Versicherungsgesetzes für Angestellte und der Reichsversicherungsordnung (Rückzahlung der Beiträge bei der Verheiratung versicherter Frauen) Gesetzesentwurf: II.B.;Bd. 360, 374. Sitz. S.11599A;374;1923-07-04;;
Schreiber-Krieger;Adele Schreiber Krieger;Eisenbahnen;Überlassung von Schlafwagenläufen an die Mitropa zum Schaden der Reichskasse. (Anfrage);Bd. 349, 108. Sitz. S. 3704C;108;1921-05-31;;
Schreiber-Krieger;Adele Schreiber Krieger;Geschlechtskrankheiten;Bekämpfung. Gesetzentwurf: II. B.;Bd. 360, 367. Sitz. S. 11420A;367;1923-06-16;;
Schreiber-Krieger;Adele Schreiber Krieger;Prostitution;Polizeiliche Reglementierung, Bordelle, Sittenkontrolle/ Frage ihrer Strafbarkeit;Bd. 360, 367. Sitz. S. 11420B;367;1923-06-16;;
Schroeder;Dr. Louise Dorothea Schroeder;Arbeiterschutz;Arbeiterinnenschutz, Ausbau/ Jugendlichenschutz, Ausbau/ Förderung durch die internationale Arbeiterorganisation, Konferenzen in Washington und Genua;Bd. 354, 212. Sitz. S. 7291C;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Arbeitsrecht;Reform, einheitliche Gestaltung;Bd. 354, 212. Sitz. S. 7289D;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Arbeitszeit;Achtstundentag;Bd. 354, 212. Sitz. S. 7289B;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Beamte;Disziplinierung wegen unehelicher Vaterschaft;Bd. 354, 204. Sitz. S. 6927B;204;1922-04-06;;
Schroeder;Dr. Louise Dorothea Schroeder;Beamtinnen;Uneheliche Mutterschaft. (Anfrage);Bd. 345, 30. Sitz. S. 1105C;30;1920-11-19;;
Schroeder;Dr. Louise Dorothea Schroeder;Beamtinnen;Uneheliche Mutterschaft. (Anfrage);Bd. 354, 204. Sitz. S. 6926B;204;1922-04-06;;
Schroeder;Dr. Louise Dorothea Schroeder;Geschlechtskrankheiten;Behandlung, Zulassung von Laien, Naturheilkundigen und Kurierfreiheit überhaupt;Bd. 360, 365. Sitz. S. 11372B;365;1923-06-14;;
Schroeder;Dr. Louise Dorothea Schroeder;Geschlechtskrankheiten;Bekämpfung. Gesetzentwurf: II. B.;Bd. 360, 365. Sitz. S. 11372B;365;1923-06-14;;
Schroeder;Dr. Louise Dorothea Schroeder;Geschlechtskrankheiten;Bekämpfung. Gesetzentwurf: III. B.;Bd. 360, 369. Sitz. S. 11467A;369;1923-06-18;;
Schroeder;Dr. Louise Dorothea Schroeder;Gewerbegerichtsgesetz und Kaufmannsgerichtsgesetz;Abänderung. Gesetzentwurf: I. B;Bd. 351, 148. Sitz. S. 5177A;148;1921-10-13;;
Schroeder;Dr. Louise Dorothea Schroeder;Hausangestellte;13stündige Arbeitszeit;Bd. 354, 212. Sitz. S. 7290C;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Jugendwohlfahrtsgesetz;Interpellation Frau Neuhaus (Westfalen)/ Kosten der Ausführung, Gegensätze zwischen den Finanzressorts des Reichs und der Länder;Bd. 347. 58. Sitz. S. 2177A;58;1921-01-27;;
Schroeder;Dr. Louise Dorothea Schroeder;Kleinrentnerfürsorge;Höhe des Unterstützungsfonds, Richtlinien des Reichsarbeitsministeriums über die Verwendung;Bd. 355, 214. Sitz. S. 7410B;214;1922-05-19;;
Schroeder;Dr. Louise Dorothea Schroeder;Kleinrentnerfürsorge;Gesetzentwurf: I. B./ Ausbau zu einem Gesetz über allgemeine Volksfürsorge;Bd. 358, 293. Sitz. S. 9554D;293;1923-01-27;;
Schroeder;Dr. Louise Dorothea Schroeder;Kleinrentnerfürsorge;Gesetzentwurf: II. B;Bd. 358, 294. Sitz. S. 9567A;294;1923-01-31;;
Schroeder;Dr. Louise Dorothea Schroeder;Lehrlinge;Lehrstellenvermittlung, Ausbau, Reichszuschüsse;Bd. 354, 212. Sitz. S. 7290B;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Metallindustrie, süddeutsche;Kampf um die 48stündige Arbeitswoche, Vermittlung des Reichsarbeitsministeriums;Bd. 354, 212. Sitz. S. 7289A;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Postverwaltung;Entlassung unehelicher Mütter, Stellung der Berufsvertretungen;Bd. 348, 87. Sitz. S. 3164D;87;1921-03-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Postverwaltung;Entlassung unehelicher Mütter, Stellung der Berufsvertretungen;Bd. 348, 87. Sitz. S. 3169C;87;1921-03-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichsarbeitsministerium;Umnennung im Reichsarbeits- und Wohlfahrtsministerium;Bd. 354, 212. Sitz. S. 7288C;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1920. Reichspostministerium: II. B.;Bd. 348, 87. Sitz. S. 3164D;87;1921-03-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1920. Reichspostministerium: II. B.;Bd. 348, 87. Sitz. S. 3169C;87;1921-03-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6926A;204;1922-04-06;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsarbeitsministerium: II. B.;Bd. 354, 212. Sitz. S. 7288C;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsarbeitsministerium: II. B.;Bd. 355, 214. Sitz. S. 7409D;214;1922-05-19;;
Schroeder;Dr. Louise Dorothea Schroeder;Reichshaushalt;Reichshaushaltsplan für 1923. Reichsarbeitsministerium: II. B.;Bd. 359, 348. Sitz. S. 10873B;348;1923-05-07;;
Schroeder;Dr. Louise Dorothea Schroeder;Sylt, Insel;Verbindung mit dem Festlande. (Anfrage);Bd. 352, 169. Sitz. S. 5829D;169;1922-02-14;;
Schroeder;Dr. Louise Dorothea Schroeder;Tabakindustrie;Schutz der »ausgesteuerten« Tabakarbeiter;Bd. 359, 348. Sitz. S. 10873B;348;1923-05-07;;
Schroeder;Dr. Louise Dorothea Schroeder;Uneheliche Kinder;Gleichstellung mit den ehelichen Kindern. (Anfrage);Bd. 350, 128. Sitz. S. 4254D;128;1921-07-01;;
Schroeder;Dr. Louise Dorothea Schroeder;Uneheliche Kinder;Gleichstellung mit den ehelichen Kindern. (Anfrage);Bd. 350, 128. Sitz. S. 4255C;128;1921-07-01;;
Schroeder;Dr. Louise Dorothea Schroeder;Uneheliche Kinder;Rechtsverpflichtung des unehelichen Vaters zur Zahlung einer Zusatzrente zur einmaligen Abfindung nach § 1714 des B. G. B. (Anfrage);Bd. 352, 155. Sitz. S. 5412A;155;1922-01-20;;
Schroeder;Dr. Louise Dorothea Schroeder;Versicherungswesen;Angestelltenversicherung. Änderung des Versicherungsgesetzes für Angestellte und der Reichsversicherungsordnung. Gesetzentwurf: II. B.;Bd. 360, 374. Sitz. S. 11601A;374;1923-07-04;;
Schroeder;Dr. Louise Dorothea Schroeder;Versicherungswesen;Angestelltenversicherung. Änderung des Versicherungsgesetzes für Angestellte und der Reichsversicherungsordnung. Gesetzentwurf: II. B./ Rückzahlung der Beiträge an Frauen bei ihrer Verheiratung;Bd. 360, 374. Sitz. S. 11599C;374;1923-07-04;;
Schroeder;Dr. Louise Dorothea Schroeder;Versicherungswesen;Invalidenversicherung (Waisenrente und Kinderzuschuß, Ausdehnung bis zum 18. Lebensjahre/ Rentengewährung für uneheliche Kinder);Bd. 360, 374. Sitz. S. 11601A;374;1923-07-04;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Wochenhilfe und Wochenfürsorge. Gesetzentwurf: II. B.(Berichterstatterin)/ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung/ Verfahren der Unabhängigen Sozialdemokratischen Partei bei der Behandlung des Gesetzentwurfs über die Wochenhilfe;Bd. 350, 132. Sitz. S. 4463D;132;1921-07-06;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Wochenhilfe und Wochenfürsorge. Gesetzentwurf: II. B./ Leistungen, Unterstützungssätze, Höhe/ Einkommensgrenze für Minderbemittelte/ Schwangerschaftsbeschwerden, unentgeltliche ärztliche Hilfe/ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung/ Ausdehnung auf Beamtenfrauen;Bd. 350, 132. Sitz. S. 4458D;132;1921-07-06;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Wochenhilfe und Wochenfürsorge. Gesetzentwurf: III. B./ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung/ Verfahren der Unabhängigen Sozialdemokratischen Partei bei der Behandlung des Gesetzentwurfs über die Wochenhilfe;Bd. 350, 133. Sitz. S. 4528A;133;1921-07-07;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Desgleichen. Gesetzentwurf: II. B. (Berichterstatterin)/ Einkommensgrenze für Minderbemittelte/ Schwangerschaftsunterstützung/ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung;Bd. 351, 150. Sitz. S. 5243B;150;1921-10-15;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Desgleichen. Gesetzentwurf: II. B. (Geschäftsordnung);Bd. 351, 150. Sitz. S. 5246D;150;1921-10-15;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Desgleichen. Gesetzentwurf: II. B./ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung;Bd. 351, 150. Sitz. S. 5232B;150;1921-10-15;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Ausbau, Vereinheitlichung, Erhöhung der Reichsmittel;Bd. 354, 212. Sitz. S. 7291A;212;1922-05-17;;
Schroeder;Dr. Louise Dorothea Schroeder;Wochenhilfe;Desgleichen. Gesetzentwürfe: II. B.;Bd. 355, 224. Sitz. S. 7758A;224;1922-05-31;;
Schuch;Clara Schuch;Altenteilsverträge;Anderweitige Festsetzung von Geldbezügen aus Altenteilsverträgen. Gesetzentwurf: II. B.;Bd. 361, 381. Sitz. S. 11865C;381;1923-08-14;;
Schuch;Clara Schuch;Außenhandelsstellen;Erhöhung von Warenpreisen;Bd. 351, 145. Sitz. S. 5047D;145;1921-11-17;;
Schuch;Clara Schuch;Gewerbe- und Kaufmannsgerichte;Passives Wahlrecht der Frauen;Bd. 348, 74. Sitz. S. 2638C;74;1921-03-03;;
Schuch;Clara Schuch;Hochschulen;Beihilfen für unbemittelte Studierende. (Anfragen);Bd. 344, 14. Sitz. S. 409A;14;1920-07-30;;
Schuch;Clara Schuch;Hochschulen;Beihilfen für unbemittelte Studierende. (Anfragen);Bd. 344, 14. Sitz. S. 409B;14;1920-07-30;;
